Canal,Título,Visualizações,Taxa_Engajamento_%,Trend_Velocity_(Views/h)
KillerProductionsful,100 ALDEÕES VS 1 GORILLA! COMPLETO | MINECRAFT | GROXMC  #minecraft #gameplay #groxmc #manhunt,16543786,3.51,2860.31
BRKsEDU,RESIDENT EVIL REQUIEM #1 - Início de Gameplay!!! | Dublado e Legendado em Português PT-BR,1610557,7.2,1095.97
Terrorizando,Poppy Playtime 5 Completo! Gameplay DUBLADO em PT BR até o Final,1267093,3.85,774.26
MaxMRM GAMEPLAY,"RESIDENT EVIL REQUIEM - O INÍCIO DE GAMEPLAY, Dublado em Português PT-BR | PS5 Pro 4k 60fps",1007479,8.08,685.58
Orube Game Studio,Fato ALEATÓRIOS sobre Five Nights at Freddy’s #fivenightsatfreddys #fnaf,9091225,8.93,284.01
Orube Game Studio,Jogos que te zoam por se esforçar demais - parte 4 💰 #jurassicpark #stalkershadowofchernobyl,5206371,10.19,197.61
Orube Game Studio,Por que o Link nunca fala nos jogos de Zelda? 🗣️ #zelda #botw #totk #link,3587319,10.7,138.17
BRKsEDU,GTA V #1 - O INÍCIO ÉPICO!!! (GTA 5 em Português PT-BR),13308398,2.86,120.39
Orube Game Studio,O que acontece se você piratear Batman: Arkham Asylum,4170972,12.17,119.63
BRKsEDU,BLACK MYTH WUKONG - Início de Gameplay!!! | Em Português PT-BR,1677621,5.59,113.36
Orube Game Studio,Os vaults mais BIZARROS em Fallout ☢️ #fallout #fallout4 #fallout76 #falloutnewvegas,1908474,10.06,110.63
BRKsEDU,"SPIDER-MAN PS4 - O Início de Gameplay, em Português PT-BR!",6596312,4.54,98.47
BRKsEDU,"SPIDER-MAN 2 - O Início de Gameplay, em Português PT-BR! | Dublado e Legendado",1855744,3.83,83.84
MaxMRM GAMEPLAY,"RESIDENT EVIL 4 REMAKE - O INÍCIO DE GAMEPLAY, Dublado em Português PT-BR | PS5 4k 60fps",2258028,4.74,83.1
Fritada Gamer,Nemesis Entra Na Save Room? • Resident Evil 3 Remake #shorts #residentevil3remake #smzinho  #jill,2118823,9.74,74.33
Max Vianna,COMO COMEÇAR BEM EM HOGWARTS LEGACY,2010542,8.07,71.47
Orube Game Studio,Fatos aleatórios sobre Fallout 👍 #fallout #bethesda #vaultboy,1742068,11.2,68.62
BRKsEDU,"RESIDENT EVIL 7 - O Início de Gameplay, em Português PT-BR (PS4 Pro)",5430617,4.83,66.91
raphainhahost,Esse jogo ficou péssimo... #farcry3 #gameplay #gaming #short #shorts,1629487,7.82,57.22
Orube Game Studio,Fatos aleatórios sobre Skyrim ⚔️ #skyrim #theelderscrolls #theelderscrollsvskyrim,1394945,14.21,53.29
Histórias em 1 minuto!,A história de cult of the lamb em 1 minuto,1712478,8.67,52.82
Gamerforte,Isso é Bizarro em Resident Evil 😂,1547632,9.42,50.39
Orube Game Studio,Fatos aleatórios sobre Wii Sports 🎳 #wiisports #nintendo #nintendoswitch #nintendoswitchsports,1216943,13.11,48.35
Orube Game Studio,Mods bizarros de Friday Night Funkin’ - vs.Sky pt.2 #shorts,1912067,9.45,46.57
Orube Game Studio,A pandemia do World of Warcraft 😷🚨 #worldofwarcraft,1373960,13.19,46.03
BRKsEDU,Jogos Que São Muito Difíceis - Parte 1! #BRKsEDU,1634111,8.43,40.5
Orube Game Studio,Jogos que terminam ANTES de começar - parte 2 🚚 #shadowcomplex #dokidokiliteratureclub #wehappyfew,1059528,15.38,38.9
BRKsEDU,Melhores Jogos de Mundo Aberto - Parte 1! #BRKsEDU,1383261,7.31,34.47
Orube Game Studio,5 curiosidades sobre Stray: o jogo do gato cyberpunk! #stray,1002950,15.83,30.55
StereOnline,GRAN TURISMO SPORT PS4 GAMEPLAY PT-BR,797859,2.22,10.09
